X Coordinate,Y Coordinate,Z Coordinate,Combination,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
38.587,-35.368,0.0,27 (Final) STR11.25-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir1+,0.774241016475338,0.0535164975935717,161.693745838682,0.0,0.0,0.00275275065024074
38.587,-35.368,0.0,28 (Final) STR11.26-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2+,0.0294207211993916,2.11707549066073,158.426283663995,0.0,0.0,-0.00063845604634306
38.587,-35.368,0.0,29 (Final) STR11.27-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2+,0.0466832738408347,2.10830772944637,157.963505209103,0.0,0.0,-0.000857668761557217
38.587,-35.368,0.0,30 (Final) STR11.28-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2+,-0.000835037409135741,2.14759171674215,142.348557977657,0.0,0.0,0.000789198388584376
38.587,-35.368,0.0,31 (Final) STR11.29-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2+,0.016427515232307,2.13882395552778,141.885779522765,0.0,0.0,0.000569985673370219
38.587,-35.368,0.0,32 (Final) STR11.30-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2+,0.028182661676769,1.84133477266233,148.199227937579,0.0,0.0,3.59113444347983e-06
38.587,-35.368,0.0,33 (Final) STR11.31-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir1-,-1.06492939280282,0.0388774380318376,171.922837237558,0.0,0.0,-0.00677648797309519
38.587,-35.368,0.0,34 (Final) STR11.32-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir1-,-1.06476329992334,0.0383533564057892,166.921514538823,0.0,0.0,-0.00679507833260797
38.587,-35.368,0.0,35 (Final) STR11.33-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir1-,-1.09475778138285,0.0691484644980279,155.844976667395,0.0,0.0,-0.00534734726281823
38.587,-35.368,0.0,36 (Final) STR11.34-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir1-,-1.09459168850337,0.0686243828719803,150.84365396866,0.0,0.0,-0.00536593762233102
38.587,-35.368,0.0,37 (Final) STR11.35-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir1-,-0.944781259959935,0.0557640011460629,157.307852230247,0.0,0.0,-0.00515421220432227
38.587,-35.368,0.0,38 (Final) STR11.36-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2-,0.0361109374176385,-1.51583455543239,162.849716557127,0.0,0.0,-0.000307287799660763
38.587,-35.368,0.0,39 (Final) STR11.37-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2-,0.0437914752913649,-1.51375192717039,162.65212572468,0.0,0.0,-0.000435458997036604
38.587,-35.368,0.0,40 (Final) STR11.38-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2-,0.0144489716102925,-1.49373240203894,151.177751588068,0.0,0.0,0.000730535369783221
38.587,-35.368,0.0,41 (Final) STR11.39-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2-,0.0221295093821541,-1.49164977371337,150.980160756262,0.0,0.0,0.000602364173528756
38.587,-35.368,0.0,42 (Final) STR11.40-1.353ξG+1.5Q+1.5ψ0S+1.5ψ0W+EHFDir2-,0.0299003070782278,-1.29227395367752,155.753164997701,0.0,0.0,0.000192459038336651
38.587,-35.368,0.0,43 (Final) STR13.1-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1+,1.33024828922096,0.0218351695851464,139.085102681207,0.0,0.0,0.00459055618338744
38.587,-35.368,0.0,44 (Final) STR13.2-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1+,1.32980689512253,0.017065083737827,132.346131833732,0.0,0.0,0.00456458002781633
38.587,-35.368,0.0,45 (Final) STR13.3-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1+,1.29414759635443,0.0583369697632031,119.631874796818,0.0,0.0,0.00631988273345479
38.587,-35.368,0.0,46 (Final) STR13.4-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1+,1.2937062022552,0.0535668839158711,112.892903949343,0.0,0.0,0.00629390657791327
38.587,-35.368,0.0,47 (Final) STR13.5-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1+,1.13896851272752,0.040486865025516,120.63776027741,0.0,0.0,0.00478159126658416
38.587,-35.368,0.0,48 (Final) STR13.6-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2+,0.0315304218641542,3.35043201793484,115.125791823823,0.0,0.0,-0.000697295560280914
38.587,-35.368,0.0,49 (Final) STR13.7-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2+,0.060301342933226,3.33581908257757,114.354494399003,0.0,0.0,-0.00106265008563784
38.587,-35.368,0.0,50 (Final) STR13.8-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2+,-0.0188958424833915,3.40129239473721,88.3295823465928,0.0,0.0,0.00168212849793148
38.587,-35.368,0.0,51 (Final) STR13.9-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2+,0.00987507858567971,3.38667945937993,87.5582849217728,0.0,0.0,0.00131677397257455
38.587,-35.368,0.0,52 (Final) STR13.10-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2+,0.0294669893264498,2.89086415460418,98.0806989464638,0.0,0.0,0.00037278307436332
38.587,-35.368,0.0,53 (Final) STR13.11-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1-,-1.6623389360948,0.0056324526737176,137.810873354938,0.0,0.0,-0.0107139077161776
38.587,-35.368,0.0,54 (Final) STR13.12-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1-,-1.66206211462901,0.00475898329697023,129.475335523714,0.0,0.0,-0.0107448916486989
38.587,-35.368,0.0,55 (Final) STR13.13-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1-,-1.71205291706151,0.0560841634507015,111.014439071333,0.0,0.0,-0.00833200653238266
38.587,-35.368,0.0,56 (Final) STR13.14-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1-,-1.71177609559572,0.0552106940739555,102.678901240109,0.0,0.0,-0.00836299046490397
38.587,-35.368,0.0,57 (Final) STR13.15-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1-,-1.46209204802333,0.0337767245307598,113.45256500942,0.0,0.0,-0.00801011476822272
38.587,-35.368,0.0,58 (Final) STR13.16-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2-,0.0387992130094159,-2.45623436756405,122.755203716661,0.0,0.0,-0.000105031761228137
38.587,-35.368,0.0,59 (Final) STR13.17-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2-,0.0516001094656266,-2.45276332046073,122.425885662584,0.0,0.0,-0.000318650423521204
38.587,-35.368,0.0,60 (Final) STR13.18-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2-,0.00269593666383935,-2.41939744524165,103.301928768229,0.0,0.0,0.0016246735211785
38.587,-35.368,0.0,61 (Final) STR13.19-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2-,0.0154968329502753,-2.41592639803237,102.972610715219,0.0,0.0,0.00141105486075439
38.587,-35.368,0.0,62 (Final) STR13.20-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir2-,0.0284481624437314,-2.08363336463927,110.927617784285,0.0,0.0,0.00072787963543422
38.587,-35.368,0.0,63 (Final) STR13.21-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1+,1.34584449613079,0.033123820024036,170.799120841416,0.0,0.0,0.00432244872019694
38.587,-35.368,0.0,64 (Final) STR13.22-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1+,1.34540310203236,0.0283537341767167,164.060149993941,0.0,0.0,0.00429647256462583
38.587,-35.368,0.0,65 (Final) STR13.23-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1+,1.30974380326426,0.0696256202020927,151.345892957027,0.0,0.0,0.00605177527026429
38.587,-35.368,0.0,66 (Final) STR13.24-1.353ξG+1.5ψ0Q+1.5ψ0S+1.5W+EHFDir1+,1.30930240916503,0.0648555343547608,144.606922109552,0.0,0.0,0.00602579911472277
